repo_id,author,downloads,likes,last_modified,created_at,is_eval_like,task_pick_and_place,task_pour_liquids,task_laundry_folding,best_task,best_task_score,total_task_score,codebase_version,robot_type,total_episodes,total_frames,total_tasks,total_videos,total_chunks,chunks_size,fps,data_files_size_in_mb,video_files_size_in_mb
HenryZhang/RFM_1_demo_BC,HenryZhang,5,0,2025-12-19T23:37:47+00:00,2025-12-19T23:37:46+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,10,1355,10,,,1000,15,100,500
HenryZhang/RFM_1_demo_dataset1766186169.8585718,HenryZhang,7,0,2025-12-19T23:37:26+00:00,2025-12-19T23:35:36+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,10,1355,10,,,1000,15,100,500
HenryZhang/RFM_human1763747463.9363,HenryZhang,5,0,2025-11-21T18:04:24+00:00,2025-11-21T18:04:21+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,20,2981,10,,,1000,15,100,500
HenryZhang/RFM_subopt_recollect1763744785.025841,HenryZhang,4,0,2025-11-21T17:27:28+00:00,2025-11-21T17:27:24+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,20,4855,10,,,1000,15,100,500
HenryZhang/RFM_success1763573774.5171869,HenryZhang,4,0,2025-11-19T17:58:45+00:00,2025-11-19T17:58:42+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,20,2737,10,,,1000,15,100,500
HenryZhang/RFM_fail1763506194.7428741,HenryZhang,3,0,2025-11-18T23:09:45+00:00,2025-11-18T23:09:41+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,20,5992,10,,,1000,15,100,500
JarneVdHDM/grab-mentos-3cam,JarneVdHDM,23,0,2026-01-26T14:50:27+00:00,2026-01-26T14:14:27+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so_follower,64,17697,1,,,1000,30,100,200
JarneVdHDM/grab-mentos,JarneVdHDM,37,0,2026-01-23T13:52:00+00:00,2026-01-23T13:51:47+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so_follower,51,23005,1,,,1000,30,100,200
Jiminator/record-test2,Jiminator,7,0,2025-12-31T06:56:25+00:00,2025-12-31T06:55:33+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,50,49319,1,,,1000,30,100,200
Jiminator/record-test,Jiminator,18,0,2025-12-28T07:44:22+00:00,2025-12-28T07:43:39+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,50,30868,1,,,1000,30,100,200
Jinny9220/so101_test_v1,Jinny9220,42,0,2026-01-30T05:30:46+00:00,2026-01-30T03:29:10+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so_follower,50,88598,1,,,1000,30,100,200
Lait-au-pole/so101_stereovision,Lait-au-pole,80,0,2026-02-11T16:35:24+00:00,2026-02-05T14:38:20+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so_follower,131,41183,1,,,1000,30,100,200
Lait-au-pole/eval_so101,Lait-au-pole,36,0,2026-02-05T09:22:04+00:00,2026-02-05T09:07:48+00:00,True,0,0,0,pick_and_place,0,0,v3.0,so_follower,13,9650,1,,,1000,30,100,200
Lait-au-pole/so101_test_480,Lait-au-pole,26,0,2026-02-04T21:26:48+00:00,2026-02-04T21:14:21+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so_follower,65,20750,1,,,1000,30,100,200
Lait-au-pole/so101_test,Lait-au-pole,46,0,2026-02-04T18:19:31+00:00,2026-02-04T18:16:59+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so_follower,51,25921,1,,,1000,30,100,200
Monica628/monica_SO101_PickBlock_260121,Monica628,29,0,2026-01-21T07:00:35+00:00,2026-01-21T06:49:57+00:00,False,1,0,0,pick_and_place,1,1,v3.0,so_follower,10,5341,1,,,1000,30,100,200
Piersondong/so101_diffusion_data_v1,Piersondong,80,0,2026-02-10T07:08:36+00:00,2026-02-09T09:34:23+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so_follower,53,34463,1,,,1000,30,100,200
Piersondong/so101_dual_cam_diffusion,Piersondong,23,0,2026-02-03T09:55:06+00:00,2026-02-03T09:53:08+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,72,58882,1,,,1000,30,100,200
Piersondong/so101_wrist_two_objects_v1,Piersondong,29,0,2026-02-01T15:00:41+00:00,2026-02-01T14:59:48+00:00,False,1,0,0,pick_and_place,1,1,v3.0,so101_follower,50,40013,1,,,1000,30,100,200
Piersondong/eval_act_wrist_test,Piersondong,12,0,2026-01-30T11:18:49+00:00,2026-01-30T11:18:35+00:00,True,0,0,0,pick_and_place,0,0,v3.0,so101_follower,10,8961,1,,,1000,30,100,200
Piersondong/so101_wrist_only_50ep,Piersondong,18,0,2026-01-30T08:14:31+00:00,2026-01-30T08:13:51+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,50,26547,1,,,1000,30,100,200
Pinguin01TG/record-test24,Pinguin01TG,7,0,2026-01-02T22:30:02+00:00,2026-01-02T22:05:35+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,37,24056,1,,,1000,30,100,200
Pinguin01TG/record-test12,Pinguin01TG,4,0,2026-01-02T16:12:38+00:00,2026-01-02T16:12:33+00:00,False,0,0,0,pick_and_place,0,0,v3.0,so101_follower,50,27979,1,,,1000,30,100,200
